OBJECTID,FacilityID,LifeCycleStatus,SubType,FunctionClass,FullName,LeftLowAddress,LeftHighAddress,RightLowAddress,RightHighAddress,IsFireDriveable,IsEvacuationRoute,IsHaulRoute,TrashDay,TrashCycle,CAB,OwnedBy,MaintainedBy,InstallDate,OverlayYear,SpeedPosted,CrossStreet1,CrossStreet2,SweepDay,SweepDayQualifier,SweepCycle,SweepRouteID,Shape__Length,GlobalID
1,3082TNROAD,Active,1,Local,Calle Ryan,1600,1698,1601,1699, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2004,25,Calle Christopher,End of Road,Friday,3rd,Monthly,ENC14,151.290307558226,{97226527-9BD0-4871-B8A9-98A88EC77025}
2,3081TNROAD,Active,1,Local,Calle Ryan,1526,1598,1527,1599, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2004,25,Calle Scott,Calle Christopher,Friday,3rd,Monthly,ENC14,415.914058525439,{9DC0BD2F-3285-4161-8113-3A5D9C7B2B61}
3,208TNROAD,Active,1,Local,Calle Ryan,1500,1524,1501,1525, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2004,25,Calle Christopher,Calle Scott,Friday,3rd,Monthly,ENC14,250.124904874903,{E04A4FD6-F375-4FC2-85A7-79D8F96E2D40}
4,202TNROAD,Active,1,Local,Calle Christopher,1401,1499,1400,1498, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,,25,End of Road,Calle Ryan,Friday,3rd,Monthly,ENC14,190.013097997546,{E71DF52C-C010-4542-A035-A2F82DF047A3}
5,3831TNROAD,Active,1,Local,Calle Christopher,1100,1398,1101,1399, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2004,25,Calle Ryan,Calle Ryan,Friday,3rd,Monthly,ENC14,1941.69708468411,{A4217474-3CAE-4B6D-AF62-E89DE6E32684}
6,1708TNROAD,Active,1,Local,Calle Scott,1300,1398,1301,1399, ,,,,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2004,25,End of Road,Calle Ryan,Friday,3rd,Monthly,ENC14,526.358828266924,{4CDEE74B-91AE-4CCA-94C4-978D80AC1900}
7,4233TNROAD,Active,1,Local,Appleridge Dr,701,799,700,798, ,,,Tuesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2023,25,Cerro St,Plumtree Dr,Friday,3rd,Monthly,ENC14,403.090198563815,{C9E59F8D-C6AB-47F7-9B73-F7F1CFC025A6}
8,3848TNROAD,Active,1,Local,Plumtree Dr,1500,1598,1501,1599, ,,,Tuesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2023,25,End of Road,Appleridge Dr,Friday,3rd,Monthly,ENC14,181.95964488104,{209D5DB2-260A-4A01-8A61-0DEF4AAE8774}
9,2053TNROAD,Active,1,Local,Hollyridge Dr,601,799,600,798, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2023,25,End of Road,Mapleleaf Ct,Friday,3rd,Monthly,ENC14,585.933279521451,{EFE378E1-EFCD-4700-8D2D-367F7E870692}
10,5608TNROAD,Active,1,Local,Hollyridge Dr,801,899,800,898, ,,,Wednesday,,New Encinitas,Encinitas,Encinitas Street Maintenance,,2023,25,Mapleleaf Ct,Juniperhill Dr,Friday,3rd,Monthly,ENC14,329.684810479077,{3B4B7F07-EF04-43E7-B66F-429F5D266AB6}
