OID_,created_date,last_edited_date,ROADSEGID,SUB_TYPE,FNODE,TNODE,LENGTH,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Length
1,,6/28/2019 13:34:42,28980,,114643,114645,123.016259090000005,7629,0,,M,D,6,T,0,2,SD,1680,1698,SD,0,0,N,N,N,0,1698,1793271.000000000000000,6300632.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6300632.000000000000000,1793271.000000000000000,6300693.991999999620020,1793269.992000000085682,6300755.000000000000000,1793269.000000000000000,1,1,10310,20020,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,123.016341108466449
2,6/1/1985 0:00:00,2/6/2018 8:33:33,28990,,114653,114654,95.000000000000000,7629,0,6/1/1985 0:00:00,M,D,6,T,0,2,SD,1840,1848,SD,0,0,N,N,N,0,1848,1793261.000000000000000,6301703.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6301703.000000000000000,1793261.000000000000000,6301751.000000000000000,1793261.000000000000000,6301798.000000000000000,1793261.000000000000000,1,1,10670,20000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,94.999809995293617
3,6/1/1985 0:00:00,2/6/2018 8:33:35,28979,,114654,114655,285.001754380000023,7629,0,6/1/1985 0:00:00,M,D,6,T,0,2,SD,1850,1898,SD,0,0,N,N,N,0,1898,1793261.000000000000000,6301798.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6301798.000000000000000,1793261.000000000000000,6301940.998999999836087,1793260.497999999905005,6302083.000000000000000,1793260.000000000000000,1,1,10660,20000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,285.001840546391520
4,4/1/1980 0:00:00,9/22/2016 15:39:21,28992,,114668,114669,83.405853379999996,7629,0,4/1/1980 0:00:00,M,D,4,B,0,2,SD,2050,2088,SD,2051,2089,N,N,N,2050,2089,1793240.307000000029802,6303584.326000000350177,35,92154,92154,SD,SD,2,N,Y,1036,1036,10103,10103,721,722,6303584.326000000350177,1793240.307000000029802,6303626.325000000186265,1793240.147000000113621,6303667.730999999679625,1793239.989999999990687,1,2,10620,10100,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,83.405948394625440
5,4/1/1980 0:00:00,6/28/2019 13:34:57,28981,,114638,114640,395.062020449999977,7629,0,4/1/1980 0:00:00,M,D,6,T,0,2,SD,1600,1648,SD,0,0,N,N,N,0,1648,1793282.000000000000000,6299986.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6299986.000000000000000,1793282.000000000000000,6300183.968999999575317,1793278.492000000085682,6300381.000000000000000,1793275.000000000000000,1,1,10540,20020,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,395.061886378281088
6,2/1/1989 0:00:00,6/28/2019 13:35:05,28986,,114648,114650,65.007691850000000,7629,0,2/1/1989 0:00:00,M,D,6,T,0,2,SD,1800,1818,SD,0,0,N,N,N,0,1818,1793264.000000000000000,6301414.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6301414.000000000000000,1793264.000000000000000,6301446.996000000275671,1793263.492000000085682,6301479.000000000000000,1793263.000000000000000,1,1,10310,20000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,65.007561839515702
7,4/1/1980 0:00:00,1/29/2018 15:12:19,28987,,114661,114662,456.559628630000020,7629,0,4/1/1980 0:00:00,M,D,6,B,0,2,SD,2026,2038,SD,2025,2039,N,N,N,2025,2039,1793246.000999999931082,6302781.000000000000000,35,92154,92154,SD,SD,2,N,Y,1036,1036,10103,10103,721,722,6302781.000000000000000,1793246.000999999931082,6303008.981999999843538,1793244.554999999934807,6303237.538999999873340,1793245.774999999906868,1,1,10600,10100,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,456.559662196230192
8,4/1/1980 0:00:00,5/8/2019 14:16:14,28962,,114612,114611,186.024191980000012,7629,150,4/1/1980 0:00:00,M,D,6,B,0,2,IB,974,998,IB,975,999,N,N,N,974,999,1793325.000000000000000,6295996.000000000000000,35,91932,91932,IB,IB,2,N,Y,3026,3026,10502,10502,702,702,6295996.000000000000000,1793325.000000000000000,6296088.987999999895692,1793326.500000000000000,6296182.000000000000000,1793328.000000000000000,1,1,30270,20100,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,186.024147970514207
9,4/1/1980 0:00:00,6/28/2019 13:34:52,28984,,114645,114648,659.018967859999975,7629,0,4/1/1980 0:00:00,M,D,6,T,0,2,SD,1700,1798,SD,0,0,N,N,N,0,1798,1793269.000000000000000,6300755.000000000000000,35,92154,92154,SD,SD,2,N,Y,1033,1033,10103,10103,721,721,6300755.000000000000000,1793269.000000000000000,6301084.991000000387430,1793266.496000000042841,6301414.000000000000000,1793264.000000000000000,1,1,10310,20010,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,659.018962107522384
10,2/1/1989 0:00:00,6/28/2019 13:34:53,28940,,114637,114638,567.015489910000042,7629,0,2/1/1989 0:00:00,M,D,6,T,0,2,SD,1500,1598,SD,0,0,N,N,N,0,1598,1793286.000000000000000,6299419.000000000000000,35,92154,92154,SD,SD,2,N,Y,1034,1034,10103,10103,721,721,6299419.000000000000000,1793286.000000000000000,6299702.990000000223517,1793283.743000000016764,6299986.000000000000000,1793282.000000000000000,1,1,10310,30000,,PALM,AV,PALM AV,,PALM,AVE,,PALM AVE,567.015340123210422
