objectid_1,objectid,statehwy,hov,toll,name2,nm,iyr,ifc,sd,fxnm,txnm,globalid,shape_Length
1,1,1,0,0, ,I-15 NB,1990,1,0,RAINBOW VALLEY,RIVERSIDE COUNTY,{05253B72-7E68-4CF7-96CB-DDAA71EC539F},514.380292514243706
2,2,1,0,0, ,I-15 SB,1990,1,0,RIVERSIDE COUNTY,RAINBOW VALLEY,{FC5450E5-A4C4-4AB2-9214-7AA178FA7E15},348.398477688321805
3,3,1,0,0, ,SR-62,1995,2,0, , ,{0A99D5A8-2E96-45DD-9857-C8E7A31C05EB},28270.903602890277398
4,4,1,0,0, ,SR-62,1995,2,0, , ,{21319A67-4270-43B2-867E-288FA8C6514C},30426.421984168846393
5,5,1,0,0, ,I-15,1995,1,0, , ,{321A76BC-15CC-4F5E-A3D7-E94FC45FF432},1781.331236207676511
6,6,0,0,0, ,MISSION,1995,3,0, , ,{FA903D39-FAA6-4B8A-A7F3-9029F0EA34E7},2816.499973245527599
7,7,1,0,0, ,I-15,1995,1,0, , ,{9874B192-C850-4AA5-AEB8-16D7DFEA51AD},2597.815601317986420
8,8,1,0,0, ,SR-60,1995,1,0, , ,{AC5FCA1A-F991-4116-859F-0318B2E7232D},2595.492483357260426
9,9,0,0,0, ,ETIWANDA,1995,3,0,PHILADELPHIA,RAMP SR-60 WB,{2EEECC86-77A9-4589-878A-1526BBA1473D},5704.149380059748182
10,10,1,0,0, ,SR-60,1995,1,0, , ,{2E6C996F-F3A0-4BEB-9223-31EB9CDFC004},917.752005240197605
11,11,0,0,0, ,MISSION,1995,3,0,SR-60 RAMP EB,CORRIDOR,{2575FDAC-EFB2-4CAA-9CFF-B9FD8751AB4B},7987.269303824027702
12,12,1,0,0, ,SR-60,1995,1,0, , ,{36D89842-B2D2-4C09-BC18-50A644364CE9},7124.327670379403571
13,13,0,0,0, ,AGUA MANSA,1995,3,0,MARKET,HALL,{2EA5BC7F-23B5-4EC8-8844-29D71282E59C},5264.261775053714700
14,14,0,0,0, ,MARKET,1995,3,0,AGUA MANSA,RUBIDOUX,{06EB17D6-3052-477D-9B46-1187E02BFCAB},550.875025941414265
15,15,0,0,0, ,ETIWANDA,1995,3,0,VAN BUREN,RAMP SR-60 WB,{5C2D0936-1C6E-4BC3-B070-5692391FF7AA},658.999994337558746
16,16,0,0,0, ,MISSION,1995,3,0,ETIWANDA,RAMP SR-60 EB,{0EFF0A3B-8EA5-4DAC-8A4F-3C80070FE3A8},1119.572396583836962
17,17,0,0,0, ,SIERRA,1995,3,0,ARMSTRONG,KAREN,{F3250AB9-97B8-44C2-A8D4-91ED3779E85D},5682.001530905839900
18,18,1,0,0, ,SR-60,1995,1,0, , ,{77C7CAC0-A06D-46B2-9D1A-EC873E043BE6},27710.423265856625221
19,19,1,0,0, ,SR-60,1995,1,0, , ,{A2D4D893-18B3-4DD1-B55E-4D04F4E6D343},4364.487161372212540
20,20,0,0,0, ,MARKET,1995,3,0,RIVERA,AGUA MANSA,{0A1369B2-4C81-4154-9964-D0F79D5CBC32},7703.558789375626475
21,21,1,0,0, ,SR-60,1995,1,0, , ,{472D461E-ABF5-428B-AF87-9F9E532BE1E9},14260.064520031341090
22,22,0,0,0, ,MAIN,1995,3,0,OAKLEY,PLACENTIA,{56617C68-34AC-42B5-A617-A3264B612941},8444.912581690492516
23,23,1,0,0, ,SR-60,1995,1,0, , ,{87610150-0BC2-4781-BB3A-3FA55FABDB8A},3499.916018054539563
24,24,0,0,0, ,RIVERVIEW,1995,3,0,RIVERVIEW,MISSION,{C449DAD1-34C1-4624-B92A-FFAEC95902D3},3191.852862644074321
25,25,1,0,0, ,I-215,1995,1,0, , ,{5B677CC5-724D-48D3-877E-A2E66FB5B166},11005.226585538912332
26,26,1,0,0, ,SR-60,1995,1,0, , ,{18E47923-5F73-4A91-946E-55A8456A53BE},2578.925546647757983
27,27,1,0,0, ,I-10,1995,1,0, , ,{B8822C0A-ACB0-4C36-A266-5B54E10363D9},3211.945946434155303
