"the_geom","t_addl","street_nam","f_addl","x","t_zip","fullname","i_strno","z","speed","y","str_nam","id","mounttype","poletype"
"POINT (-122.27756006207463 37.84786000307448)","1,599","ALCATRAZ","1,501","563,559.531186","94702","ALCATRAZ","3,301","-9.264","35","4,189,180.85915","SACRAMENTO ST","1","Single Pole","SINGLE POLE"
"POINT (-122.27760829315804 37.84782135037986)","1,599","ALCATRAZ","1,501","563,555.320199","94702","ALCATRAZ","3,301","-4.693","35","4,189,176.53804","SACRAMENTO ST","2","Pole Mast","MASTARM POLE"
"POINT (-122.27763212962303 37.84797591015274)","1,599","ALCATRAZ","1,501","563,553.090967","94702","ALCATRAZ","3,243","-7.294","35","4,189,193.67047","SACRAMENTO ST","3","Single Pole","SINGLE POLE"
"POINT (-122.27760546394191 37.84798132378773)","1,599","ALCATRAZ","1,501","563,555.43275","94702","ALCATRAZ","3,243","-4.026","35","4,189,194.28887","SACRAMENTO ST","4","Single Pole","SINGLE POLE"
"POINT (-122.27795518661136 37.847808467749374)","1,499","ALCATRAZ","1,401","563,524.81268","94702","ALCATRAZ","1,444","-8.329","35","4,189,174.87294","ALCATRAZ AVE","5","Single Pole","SINGLE POLE"
"POINT (-122.27792481976883 37.84780693050423)","1,499","ALCATRAZ","1,401","563,527.48508","94702","ALCATRAZ","1,444","-3.497","35","4,189,174.72273","ALCATRAZ AVE","6","Single Pole","SINGLE POLE"
"POINT (-122.27878604196809 37.84748088393368)","1,499","ALCATRAZ","1,401","563,451.994177","94702","ALCATRAZ","1,416","-7.407","35","4,189,137.96145","ALCATRAZ AVE","7","Single Pole","SINGLE POLE"
"POINT (-122.27797866035482 37.84793152765757)","1,499","ALCATRAZ","1,401","563,522.64133","94702","ALCATRAZ","1,499","-9.666","35","4,189,188.51065","ALCATRAZ AVE","8","Pole Mast","MASTARM POLE"
"POINT (-122.27795869716135 37.84792682216454)","1,499","ALCATRAZ","1,401","563,524.401453","94702","ALCATRAZ","1,499","-0.169","35","4,189,188.00165","ALCATRAZ AVE","9","Pole Mast","MASTARM POLE"
"POINT (-122.277837619465 37.847768473757874)","3,311","SACRAMENTO","3,301","563,535.189957","94702","SACRAMENTO","0","-8.836","35","4,189,170.51487","ALCATRAZ AVE","10","Pole Mast","MASTARM POLE"
"POINT (-122.27783918841382 37.847781133963544)","3,311","SACRAMENTO","3,301","563,535.040964","94702","SACRAMENTO","0","-2.745","35","4,189,171.91845","ALCATRAZ AVE","11","Pole Mast","MASTARM POLE"
"POINT (-122.27760929490609 37.847804651013135)","3,311","SACRAMENTO","3,301","563,555.247433","94702","SACRAMENTO","3,301","-10.357","35","4,189,174.68448","SACRAMENTO ST","12","Single Pole","SINGLE POLE"
"POINT (-122.27760461883452 37.84780325506195)","3,311","SACRAMENTO","3,301","563,555.659494","94702","SACRAMENTO","3,301","0.341","35","4,189,174.53344","SACRAMENTO ST","13","Single Pole","SINGLE POLE"
"POINT (-122.27791614939221 37.847977470043844)","3,299","SACRAMENTO","3,221","563,528.101547","94702","SACRAMENTO","1,499","-1.637","35","4,189,193.65028","ALCATRAZ AVE","14","Single Pole","SINGLE POLE"
"POINT (-122.27769022637418 37.84800917192452)","3,299","SACRAMENTO","3,221","563,547.950783","94702","SACRAMENTO","3,243","-10.542","35","4,189,197.32117","SACRAMENTO ST","15","Pole Mast","MASTARM POLE"
"POINT (-122.27768637700258 37.84801624150806)","3,299","SACRAMENTO","3,221","563,548.283438","94702","SACRAMENTO","3,243","0.154","35","4,189,198.10822","SACRAMENTO ST","16","Pole Mast","MASTARM POLE"
