X,Y,OBJECTID,DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
5363908.79666863,2515679.37511915,1,5,1,,SB,R,0.001,,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",40,600,540,860,8000,7700
5363908.79666863,2515679.37511915,2,5,1,,SB,R,0.001,,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",40,600,540,860,8000,7700
6262494.70717038,1908459.45176615,3,11,5,,SD,R,30.345,R,BEGIN RIGHT ALIGN,,,,5900,69000,66000
5877050.04170956,2438598.41904515,4,7,5,S,LA,C,46.351,,BREAK IN RTE,,,,,,
5877127.10979688,2438305.0639888,5,7,5,S,LA,C,46.351,,BREAK IN RTE,,,,,,
5084997.23539838,3652374.4452284,6,10,5,,SJ,,0.053,R,BEGIN RIGHT ALIGN,,,,,,24000
5084872.98269413,3652257.80668214,7,10,5,,SJ,,0.053,L," SB ON FR RTE 580, BEGIN LEFT ALIGN",,,,,,10000
5082699.71046589,3654710.6000049,8,10,5,,SJ,,0.68,L,"JCT. RTE. 580 WEST, END LEFT ALIGN",,,,,,15300
6606058.22476639,1814619.40486656,9,11,8,,IMP,R,0,L,"SAN DIEGO/IMPERIAL COUNTY LINE, LEFT ALIGN",,,,2500,12400,11500
5966735.5227713,2333179.20796798,10,7,10,,LA,,18.395,,BREAK IN RTE,,,,,,
5966734.63957097,2333261.15727915,11,7,10,,LA,,18.395,,BREAK IN RTE,,,,,,
6210497.18452522,2391956.94080597,12,8,15,,SBD,M,16.497,,JCT 15/215 SEP EB,9300,144000,139000,11200,181000,173000
6210349.95319238,2391816.95683397,13,8,15,,SBD,M,16.497,,JCT 15/215 SEP EB,9300,144000,139000,11200,181000,173000
4924133.18639222,4254102.73094264,14,3,20,,COL,,31.849,,"COLUSA, MARKET/BRIDGE STREETS",1750,17300,16400,1750,17300,16400
4924133.18639222,4254102.73094264,15,3,20,,COL,,31.849,,"COLUSA, MARKET/BRIDGE STREETS",1750,17300,16400,1750,17300,16400
4923326.19522405,4251834.11540115,16,3,20,,COL,,32.301,,"COLUSA, FREMONT STREET",1500,14800,13900,1150,12800,12000
4923325.96622188,4251833.42216106,17,3,20,,COL,,32.301,,"COLUSA, FREMONT STREET",1500,14800,13900,1150,12800,12000
4924058.4486808,4247931.5041119,18,3,20,,COL,,33.105,,MOON BEND ROAD,810,9200,8700,810,9200,8600
4924089.94107188,4247941.2360478,19,3,20,,COL,,33.105,,MOON BEND ROAD,810,9200,8700,810,9200,8600
5342990.13542205,4662607.57567672,20,2,36,,LAS,R,29.394,,"JOHNSTONVILLE, JCT. RTE. 395",1000,9400,8000,,,
5342990.13542205,4662607.57567672,21,2,36,,LAS,R,29.394,,"JOHNSTONVILLE, JCT. RTE. 395",1000,9400,8000,,,
4744621.34036414,3849301.27217448,22,4,37,,MRN,R,11.2,,JCT RTE 251,,,,4700,56000,47000
4744164.0525648,3849603.99597847,23,4,37,,MRN,R,11.2,,JCT RTE 251,,,,4700,56000,47000
4824294.77714555,3860952.53168032,24,4,37,,SOL,R,8.26,,WILSON AVENUE,3050,39500,38500,3350,43000,42000
4824250.97014655,3860971.37514657,25,4,37,,SOL,R,8.26,,WILSON AVENUE,3050,39500,38500,3350,43000,42000
6335758.19286098,2633548.24436781,26,8,40,,SBD,S,0,,ADA DR,,,,1750,15100,13000
6335758.19286098,2633548.24436781,27,8,40,,SBD,S,0,,ADA DR,,,,1750,15100,13000
6338517.88747281,2630622.01564023,28,8,40,,SBD,S,0.794,,"BARSTOW, JCT. RTE. 15",1750,15100,13000,,,
6338517.88747281,2630622.01564023,29,8,40,,SBD,S,0.794,,"BARSTOW, JCT. RTE. 15",1750,15100,13000,,,
5511224.36227314,3146559.3348134,30,6,41,,KIN,R,37.792,,JACKSON AVENUE,1000,11900,10700,1100,13000,11800
5511196.83050406,3146569.27344181,31,6,41,,KIN,R,37.792,,JACKSON AVENUE,1000,11900,10700,1100,13000,11800
5257340.22765397,4059582.36375056,32,3,49,,ED,R,14.597,,"PLACERVILLE, PACIFIC ST/RTE 49 LEFT TURN",670,6900,6800,1150,11200,9900
5257340.22765397,4059582.36375056,33,3,49,,ED,R,14.597,,"PLACERVILLE, PACIFIC ST/RTE 49 LEFT TURN",670,6900,6800,1150,11200,9900
6348716.36871623,1849587.61084865,34,11,54,,SD,T,10.993,,JCT. RTE. 94,9500,118000,115000,,,
6348716.36871623,1849587.61084865,35,11,54,,SD,T,10.993,,JCT. RTE. 94,9500,118000,115000,,,
6088075.89557564,2319177.44135214,36,7,57,,LA,R,4.518,,"DIAMOND BAR, NORTH JCT. RTE. 60",,,,9100,133000,121000
6087873.8867933,2319225.66238432,37,7,57,,LA,R,4.518,,"DIAMOND BAR, NORTH JCT. RTE. 60",,,,9100,133000,121000
5962829.22120072,2323695.6714889,38,7,60,,LA,L,0,,"LOS ANGELES, BEGIN WESTBOUND LANES",,,,4850,78000,71000
5962133.15960072,2323637.31891531,39,7,60,,LA,L,0,,"LOS ANGELES, BEGIN WESTBOUND LANES",,,,4850,78000,71000
